instancia,n,m,ct,maxM,costo_usado,movimientos,polarizacion,tiempo_solver_s,estado,solver,nodos,observaciones
ejemplo_pdf,20,5,20,18,19.2 (96/5),14,0.5 (1/2),0.0255,ÓPTIMO,HiGHS,1,Instancia de la sección 2.4.
instancia_01_consenso,10,4,12,6,11.7 (117/10),6,0,0.0121,ÓPTIMO,HiGHS,1,El presupuesto permite alcanzar consenso.
instancia_02_presupuesto_limitado,20,5,10,7,9.8 (49/5),7,5.8 (29/5),0.1048,ÓPTIMO,HiGHS,9,Presupuesto bajo; no se alcanza consenso.
instancia_03_costos_extra_altos,24,6,30,18,30,18,6.75 (27/4),0.1867,ÓPTIMO,HiGHS,11,Destinos centrales vacíos con costos extra altos.
instancia_04_costos_decimales,18,6,18.75,15,18.66666667 (56/3),14,2.75 (11/4),0.2588,ÓPTIMO,HiGHS,76,Verifica escalamiento exacto de costos decimales.
instancia_05_grande,40,8,45,25,44.85 (897/20),24,11.7 (117/10),0.3547,ÓPTIMO,HiGHS,15,Mayor número de opiniones y variables.
ejemplo_ct_00,20,5,0,18,0,0,4,0.0088,ÓPTIMO,HiGHS,1,Control: no se permiten movimientos.
ejemplo_ct_10,20,5,10,18,9.6 (48/5),8,2,0.0287,ÓPTIMO,HiGHS,1,Variación intermedia del presupuesto.
ejemplo_ct_24,20,5,24,18,24,16,0,0.0375,ÓPTIMO,HiGHS,1,Presupuesto mínimo observado para consenso en opinión 1.
instancia_03_sin_extra,24,6,30,18,30,18,6,0.2189,ÓPTIMO,HiGHS,11,Control de la instancia 03 con ce=0.
