instancia,n,m,ct,maxM,costo_usado,movimientos,polarizacion,valor_profesor,diferencia_profesor,tiempo_solver_s,nodos,solver,estado,detalle
MinPol1.mpl,5,5,16.38,5,6.5988 (16497/2500),5,0.09 (9/100),0.09,0,0.0545,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol2.mpl,5,5,75.43,39,15.6168 (19521/1250),11,0,0,0,0.1365,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol3.mpl,5,10,128.46,140,12.1116 (30279/2500),11,0,0,0,0.0113,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol4.mpl,10,5,38.74,19,23.8851 (238851/10000),11,0,0,0,0.0052,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol5.mpl,10,5,29.35,9,21.2271 (212271/10000),9,0.482 (241/500),0.482,0,0.1989,10,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol6.mpl,20,5,22.3,26,20.5868 (51467/2500),22,0.003 (3/1000),0.003,0,0.1744,6,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol7.mpl,35,5,8.44,20,7.939628571 (277887/35000),11,3.085 (617/200),3.085,0,0.2598,8,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol8.mpl,35,5,3.43,16,2.908571429 (509/175),12,4.323 (4323/1000),4.323,0,0.3304,6,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol9.mpl,50,5,15.37,7,7.94814 (397407/50000),7,5.373 (5373/1000),5.373,0,0.2657,2,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol10.mpl,50,5,5.85,18,5.59266 (279633/50000),5,9.687 (9687/1000),9.686,0.001 (1/1000),0.1948,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol11.mpl,50,10,38.02,25,25.93028 (648257/25000),25,10.349 (10349/1000),10.349,0,0.7204,20,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol12.mpl,50,10,18.78,42,18.77594 (938797/50000),42,3.721 (3721/1000),3.721,0,0.5436,36,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol13.mpl,75,10,68.39,69,68.28957333 (2560859/37500),69,12.417 (12417/1000),12.417,0,0.4184,13,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol14.mpl,75,10,26.25,71,26.22126667 (393319/15000),71,6.55 (131/20),6.549,0.001 (1/1000),0.6211,40,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol15.mpl,100,5,52.42,35,47.67069 (4767069/100000),35,10.313 (10313/1000),10.313,0,0.1705,8,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol16.mpl,100,5,5.82,38,2.7312 (1707/625),38,18.786 (9393/500),18.786,0,0.3597,8,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol17.mpl,100,10,5.05,43,4.81794 (240897/50000),43,14.172 (3543/250),14.171,0.001 (1/1000),1.7040,184,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol18.mpl,100,10,8.31,42,6.16068 (154017/25000),42,17.898 (8949/500),17.897,0.001 (1/1000),0.6343,105,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol19.mpl,100,20,22.44,14,13.92211 (1392211/100000),14,19.603 (19603/1000),19.603,0,0.5318,18,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol20.mpl,100,20,1.67,4,1.62614 (81307/50000),4,23.567 (23567/1000),23.566,0.001 (1/1000),4.9216,110,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol21.mpl,120,3,38.76,44,32.66826667 (61253/1875),44,24.176 (3022/125),24.175,0.001 (1/1000),0.0648,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol22.mpl,150,3,18.37,9,12.80982 (640491/50000),9,31.135 (6227/200),31.135,0,0.0112,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol23.mpl,150,3,36.29,17,7.48972 (187243/25000),17,3.822 (1911/500),3.822,0,0.0068,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol24.mpl,200,3,3.82,9,2.26497 (226497/100000),1,29.902 (14951/500),29.902,0,0.0040,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol25.mpl,180,3,15.37,25,15.02111111 (13519/900),20,24.775 (991/40),24.775,0,0.0072,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol26.mpl,100,5,80.76,20,70.025 (2801/40),20,30.748 (7687/250),30.748,0,0.1569,8,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol27.mpl,100,5,63.68,30,63.049 (63049/1000),30,25.021 (25021/1000),25.021,0,0.1693,12,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol28.mpl,125,5,40.44,31,35.4204 (88551/2500),31,14.683 (14683/1000),14.683,0,0.1705,8,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol29.mpl,125,5,60.02,30,33.15 (663/20),30,30,29.999,0.001 (1/1000),0.1803,8,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
MinPol30.mpl,100,5,1000.0,1000,184.575 (7383/40),200,0,0,0,0.0258,0,COIN-BC,ÓPTIMO,Comprobaciones independientes aprobadas y diferencia con el profesor no mayor que 0.001.
